analysis_tier,metric,operator,horizon,estimand,mean,ci95_low,ci95_high,n_queries
full_policy,recall10,anchored,4,representation_minus_search_H3abs,0.022544901506373113,0.01947614360581481,0.02573831814670459,1726
full_policy,recall10,anchored,8,representation_H3abs,0.006823887776958481,0.005705175121727142,0.007930827777338877,1726
full_policy,recall10,anchored,8,search_H3abs,-0.001166521091564529,-0.0018914224626040087,-0.00043709564503667964,1726
full_policy,recall10,anchored,8,representation_minus_search_H3abs,0.00799040886852301,0.006870483239843399,0.009100762385588216,1726
full_policy,recall10,recursive,4,representation_H3abs,0.03062728238351063,0.026298264730152007,0.03487068322272549,1726
full_policy,recall10,recursive,4,search_H3abs,-0.004073396186663884,-0.006859999912216048,-0.0012788041188244244,1726
full_policy,recall10,recursive,4,representation_minus_search_H3abs,0.03470067857017451,0.0301584967212683,0.03921146941606096,1726
full_policy,recall10,recursive,8,representation_H3abs,0.011063634607956759,0.008917231227395647,0.013161901276671719,1726
full_policy,recall10,recursive,8,search_H3abs,-0.0044826889989114625,-0.006040960737151335,-0.0029832755056357174,1726
full_policy,recall10,recursive,8,representation_minus_search_H3abs,0.015546323606868223,0.013387665216767916,0.017756000949530063,1726
h50_subset,ndcg10,anchored,4,representation_H3abs,0.01244328589676328,0.01017668754073321,0.014624192898470062,1726
h50_subset,ndcg10,anchored,4,search_H3abs,-0.0022153633462731544,-0.003886695709372008,-0.0006190926769366957,1726
h50_subset,ndcg10,anchored,4,representation_minus_search_H3abs,0.014658649243036436,0.012361159771964498,0.017006868005827555,1726
h50_subset,ndcg10,anchored,8,representation_H3abs,0.0031619592989514745,0.0023067705758563466,0.004005250321491757,1726
h50_subset,ndcg10,anchored,8,search_H3abs,-0.0013468664120029352,-0.002015024814943937,-0.000673811537160105,1726
h50_subset,ndcg10,anchored,8,representation_minus_search_H3abs,0.004508825710954409,0.0035997780044433277,0.005404162619336843,1726
h50_subset,ndcg10,anchored,12,representation_H3abs,0.0012634656387003887,0.0007827259857159957,0.001728379070778039,1726
h50_subset,ndcg10,anchored,12,search_H3abs,-0.0008184843886723954,-0.0012094674552674907,-0.0004362744622211919,1726
h50_subset,ndcg10,anchored,12,representation_minus_search_H3abs,0.002081950027372784,0.001598473714487347,0.0025702560849838025,1726
h50_subset,ndcg10,anchored,16,representation_H3abs,0.0006593657437645437,0.0003633054018015085,0.0009534253299357314,1726
h50_subset,ndcg10,anchored,16,search_H3abs,-0.0005301050804186265,-0.0007719887878404441,-0.00028607909003352757,1726
h50_subset,ndcg10,anchored,16,representation_minus_search_H3abs,0.0011894708241831703,0.000890038782850934,0.0014974185165996965,1726
h50_subset,ndcg10,anchored,24,representation_H3abs,0.00026727961294877343,0.000122171945923228,0.00041288321207656964,1726
h50_subset,ndcg10,anchored,24,search_H3abs,-0.00026994169062740124,-0.0003992053721163047,-0.00014608267104478554,1726
h50_subset,ndcg10,anchored,24,representation_minus_search_H3abs,0.0005372213035761746,0.0003863055874476512,0.0006886902988165147,1726
h50_subset,ndcg10,anchored,32,representation_H3abs,0.00014234818523091368,5.336547595229444e-05,0.00023054619862119256,1726
h50_subset,ndcg10,anchored,32,search_H3abs,-0.0001622879421191285,-0.00024120880678281715,-8.616924802103869e-05,1726
h50_subset,ndcg10,anchored,32,representation_minus_search_H3abs,0.0003046361273500422,0.00021512209178310625,0.0003972016092757302,1726
h50_subset,ndcg10,anchored,40,representation_H3abs,8.786551282027366e-05,2.8205578843934158e-05,0.00014663310436407258,1726
h50_subset,ndcg10,anchored,40,search_H3abs,-0.00010804997348871963,-0.00015876521785508808,-5.6723261189692994e-05,1726
h50_subset,ndcg10,anchored,40,representation_minus_search_H3abs,0.0001959154863089933,0.0001357191378642329,0.0002557821325264302,1726
h50_subset,ndcg10,anchored,50,representation_H3abs,5.451591722264502e-05,1.4872269054202497e-05,9.369680172378535e-05,1726
h50_subset,ndcg10,anchored,50,search_H3abs,-7.135823566346325e-05,-0.00010519040818736995,-3.779527788622887e-05,1726
h50_subset,ndcg10,anchored,50,representation_minus_search_H3abs,0.00012587415288610828,8.709418874005217e-05,0.0001660907815107585,1726
h50_subset,ndcg10,recursive,4,representation_H3abs,0.01035264469179343,0.00693245876155365,0.013701256694189624,1726
h50_subset,ndcg10,recursive,4,search_H3abs,-0.005067507878637446,-0.007833205661365281,-0.0024559196891115616,1726
h50_subset,ndcg10,recursive,4,representation_minus_search_H3abs,0.015420152570430876,0.011963370666543653,0.018840377074321388,1726
h50_subset,ndcg10,recursive,8,representation_H3abs,-0.0036307469804116054,-0.005352700244288046,-0.0019065534981277537,1726
h50_subset,ndcg10,recursive,8,search_H3abs,-0.005861396810176977,-0.007407594951566794,-0.004306163313698036,1726
h50_subset,ndcg10,recursive,8,representation_minus_search_H3abs,0.0022306498297653718,0.0004883058703728506,0.00399356017700586,1726
h50_subset,ndcg10,recursive,12,representation_H3abs,-0.00537930287645125,-0.006528104313550293,-0.004190538576624322,1726
h50_subset,ndcg10,recursive,12,search_H3abs,-0.005005197818195702,-0.00606819861188762,-0.003954440992734674,1726
h50_subset,ndcg10,recursive,12,representation_minus_search_H3abs,-0.00037410505825554883,-0.001549639247726789,0.000800874005036002,1726
h50_subset,ndcg10,recursive,16,representation_H3abs,-0.00509772059779433,-0.005973433931700447,-0.0042074041457679364,1726
h50_subset,ndcg10,recursive,16,search_H3abs,-0.004047994407492762,-0.004826231394528798,-0.003267115909080977,1726
h50_subset,ndcg10,recursive,16,representation_minus_search_H3abs,-0.001049726190301569,-0.0019007354664877052,-0.0001996685826162975,1726
h50_subset,ndcg10,recursive,24,representation_H3abs,-0.004096632588400509,-0.004663202862360572,-0.003514190831364986,1726
h50_subset,ndcg10,recursive,24,search_H3abs,-0.0027911063983347166,-0.0032911938027194686,-0.0022898506592851633,1726
h50_subset,ndcg10,recursive,24,representation_minus_search_H3abs,-0.0013055261900657927,-0.0018431516278229003,-0.0007712818484790116,1726
h50_subset,ndcg10,recursive,32,representation_H3abs,-0.00327565430649107,-0.00368051894624988,-0.0028701167767698423,1726
h50_subset,ndcg10,recursive,32,search_H3abs,-0.002031274631505753,-0.002396118416275521,-0.0016635281111082876,1726
h50_subset,ndcg10,recursive,32,representation_minus_search_H3abs,-0.0012443796749853167,-0.0016400688861012652,-0.000867913678779612,1726
h50_subset,ndcg10,recursive,40,representation_H3abs,-0.0026404750289458516,-0.002943127352979723,-0.0023334133778791307,1726
h50_subset,ndcg10,recursive,40,search_H3abs,-0.001568536719657079,-0.0018382080077478731,-0.0012932964765803715,1726
